peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
Planning-Focused Products,Business Value,1,Anaplan,,6.407640786,7.151734768,7,,1,
Planning-Focused Products,Business Value,1,Board,,6.407640786,6.110268353,12,,1,
Planning-Focused Products,Business Value,1,CCH Tagetik,,6.407640786,6.569213759,10,,1,
Planning-Focused Products,Business Value,1,CoPlanner,,6.407640786,6.545922293,11,,1,
Planning-Focused Products,Business Value,1,Corporate Planning,,6.407640786,5.723344556,15,,1,
Planning-Focused Products,Business Value,1,IBM Plan. Analytics,,6.407640786,5.865291577,14,,1,
Planning-Focused Products,Business Value,1,Jedox,,6.407640786,8.691769527,2,,1,
Planning-Focused Products,Business Value,1,LucaNet,,6.407640786,8.113660432,3,,1,
Planning-Focused Products,Business Value,1,macs Software,,6.407640786,9.382352941,1,,1,
Planning-Focused Products,Business Value,1,OneStream,,6.407640786,4.940703756,16,,1,
Planning-Focused Products,Business Value,1,Oracle Cloud EPM,,6.407640786,5.979752029,13,,1,
Planning-Focused Products,Business Value,1,Planful,,6.407640786,7.53930116,5,,1,
Planning-Focused Products,Business Value,1,Prophix,,6.407640786,6.970335646,9,,1,
Planning-Focused Products,Business Value,1,SAP Analytics Cloud,,6.407640786,4.124067774,18,,1,
Planning-Focused Products,Business Value,1,SAP BPC,,6.407640786,1.171122995,19,,1,
Planning-Focused Products,Business Value,1,Serviceware Perf.,,6.407640786,7.607675139,4,,1,
Planning-Focused Products,Business Value,1,Unit4 FP&A,,6.407640786,4.826845006,17,,1,
Planning-Focused Products,Business Value,1,Valsight,,6.407640786,7.364353995,6,,1,
Planning-Focused Products,Business Value,1,Workday Adapt. Plan.,,6.407640786,7.067459224,8,,1,
Planning-Focused Products,Business Benefits,2,Anaplan,,6.725582783,7.725454545,6,,2,
Planning-Focused Products,Business Benefits,2,Board,,6.725582783,7.398181818,8,,2,
Planning-Focused Products,Business Benefits,2,CCH Tagetik,,6.725582783,7.705995086,7,,2,
Planning-Focused Products,Business Benefits,2,CoPlanner,,6.725582783,6.855844156,12,,2,
Planning-Focused Products,Business Benefits,2,Corporate Planning,,6.725582783,3.847272727,17,,2,
Planning-Focused Products,Business Benefits,2,IBM Plan. Analytics,,6.725582783,6.901818182,11,,2,
Planning-Focused Products,Business Benefits,2,Jedox,,6.725582783,9.73627907,2,,2,
Planning-Focused Products,Business Benefits,2,LucaNet,,6.725582783,7.155064935,9,,2,
Planning-Focused Products,Business Benefits,2,macs Software,,6.725582783,10,1,,2,
Planning-Focused Products,Business Benefits,2,OneStream,,6.725582783,5.279090909,15,,2,
Planning-Focused Products,Business Benefits,2,Oracle Cloud EPM,,6.725582783,6.765454545,13,,2,
Planning-Focused Products,Business Benefits,2,Planful,,6.725582783,9.427272727,3,,2,
Planning-Focused Products,Business Benefits,2,Prophix,,6.725582783,7.14539185,10,,2,
Planning-Focused Products,Business Benefits,2,SAP Analytics Cloud,,6.725582783,2.967107438,18,,2,
Planning-Focused Products,Business Benefits,2,SAP BPC,,6.725582783,1,19,,2,
Planning-Focused Products,Business Benefits,2,Serviceware Perf.,,6.725582783,8.729090909,4,,2,
Planning-Focused Products,Business Benefits,2,Unit4 FP&A,,6.725582783,5.176818182,16,,2,
Planning-Focused Products,Business Benefits,2,Valsight,,6.725582783,5.406240786,14,,2,
Planning-Focused Products,Business Benefits,2,Workday Adapt. Plan.,,6.725582783,8.563695015,5,,2,
Planning-Focused Products,Project Success,3,Anaplan,,6.849272063,7.602316602,8,,2,
Planning-Focused Products,Project Success,3,Board,,6.849272063,5.350579151,17,,2,
Planning-Focused Products,Project Success,3,CCH Tagetik,,6.849272063,7.648648649,7,,2,
Planning-Focused Products,Project Success,3,CoPlanner,,6.849272063,7.225041368,9,,2,
Planning-Focused Products,Project Success,3,Corporate Planning,,6.849272063,8.527359872,5,,2,
Planning-Focused Products,Project Success,3,IBM Plan. Analytics,,6.849272063,5.896088635,14,,2,
Planning-Focused Products,Project Success,3,Jedox,,6.849272063,8.641478213,3,,2,
Planning-Focused Products,Project Success,3,LucaNet,,6.849272063,8.608383894,4,,2,
Planning-Focused Products,Project Success,3,macs Software,,6.849272063,10,1,,2,
Planning-Focused Products,Project Success,3,OneStream,,6.849272063,6.403474903,12,,2,
Planning-Focused Products,Project Success,3,Oracle Cloud EPM,,6.849272063,6.444015444,10,,2,
Planning-Focused Products,Project Success,3,Planful,,6.849272063,6.436887437,11,,2,
Planning-Focused Products,Project Success,3,Prophix,,6.849272063,6.062667063,13,,2,
Planning-Focused Products,Project Success,3,SAP Analytics Cloud,,6.849272063,5.669006669,15,,2,
Planning-Focused Products,Project Success,3,SAP BPC,,6.849272063,1,19,,2,
Planning-Focused Products,Project Success,3,Serviceware Perf.,,6.849272063,8.019305019,6,,2,
Planning-Focused Products,Project Success,3,Unit4 FP&A,,6.849272063,5.274131274,18,,2,
Planning-Focused Products,Project Success,3,Valsight,,6.849272063,9.890117917,2,,2,
Planning-Focused Products,Project Success,3,Workday Adapt. Plan.,,6.849272063,5.436667082,16,,2,
Planning-Focused Products,Project Length,4,Anaplan,,4.570552239,4.529411765,8,,2,
Planning-Focused Products,Project Length,4,Board,,4.570552239,3.765906363,12,,2,
Planning-Focused Products,Project Length,4,CCH Tagetik,,4.570552239,1,18,,2,
Planning-Focused Products,Project Length,4,CoPlanner,,4.570552239,4.257918552,10,,2,
Planning-Focused Products,Project Length,4,Corporate Planning,,4.570552239,5.743529412,6,,2,
Planning-Focused Products,Project Length,4,IBM Plan. Analytics,,4.570552239,2.694117647,15,,2,
Planning-Focused Products,Project Length,4,Jedox,,4.570552239,5.658823529,7,,2,
Planning-Focused Products,Project Length,4,LucaNet,,4.570552239,10,1,,2,
Planning-Focused Products,Project Length,4,macs Software,,4.570552239,6.294117647,4,,2,
Planning-Focused Products,Project Length,4,OneStream,,4.570552239,1,18,,2,
Planning-Focused Products,Project Length,4,Oracle Cloud EPM,,4.570552239,2.694117647,15,,2,
Planning-Focused Products,Project Length,4,Planful,,4.570552239,4.080213904,11,,2,
Planning-Focused Products,Project Length,4,Prophix,,4.570552239,8.260504202,2,,2,
Planning-Focused Products,Project Length,4,SAP Analytics Cloud,,4.570552239,4.505070994,9,,2,
Planning-Focused Products,Project Length,4,SAP BPC,,4.570552239,2.026737968,17,,2,
Planning-Focused Products,Project Length,4,Serviceware Perf.,,4.570552239,3.420168067,13,,2,
Planning-Focused Products,Project Length,4,Unit4 FP&A,,4.570552239,2.882352941,14,,2,
