Peer,vendor,KPI,value
BI-focused Products,Board,Business benefits,8.210340961
BI-focused Products,Cubeware,Business benefits,2.593595479
BI-focused Products,cubus,Business benefits,6.807164052
BI-focused Products,evidanza,Business benefits,7.690588574
BI-focused Products,IBM Plan. Analytics,Business benefits,6.59482165
BI-focused Products,IDL,Business benefits,10
BI-focused Products,Infor d/EPM,Business benefits,4.553530067
BI-focused Products,Jedox,Business benefits,9.227842907
BI-focused Products,Longview Pl. (On-Pr.),Business benefits,9.553780471
BI-focused Products,Prophix,Business benefits,9.224008582
BI-focused Products,SAP Analytics Cloud,Business benefits,8.140152205
BI-focused Products,Unit4 FP&A,Business benefits,9.385321331
BI-focused Products,Peer Group Average,Business benefits,7.665095523
BI-focused Products,Board,Project success,5.417177914
BI-focused Products,Cubeware,Project success,3.895804473
BI-focused Products,cubus,Project success,9.594882878
BI-focused Products,evidanza,Project success,6.47833589
BI-focused Products,IBM Plan. Analytics,Project success,3.838199891
BI-focused Products,IDL,Project success,8.747872551
BI-focused Products,Infor d/EPM,Project success,5.215002789
BI-focused Products,Jedox,Project success,6.363716039
BI-focused Products,Longview Pl. (On-Pr.),Project success,6.420542252
BI-focused Products,Prophix,Project success,6.842314707
BI-focused Products,SAP Analytics Cloud,Project success,5.215317633
BI-focused Products,Unit4 FP&A,Project success,5.849414389
BI-focused Products,Peer Group Average,Project success,6.15654845
BI-focused Products,Board,Project length,2.783281734
BI-focused Products,Cubeware,Project length,2.894736842
BI-focused Products,cubus,Project length,4.789473684
BI-focused Products,evidanza,Project length,5.042105263
BI-focused Products,IBM Plan. Analytics,Project length,4.031578947
BI-focused Products,IDL,Project length,5.872180451
BI-focused Products,Infor d/EPM,Project length,5.042105263
BI-focused Products,Jedox,Project length,9.267942584
BI-focused Products,Longview Pl. (On-Pr.),Project length,4.929824561
BI-focused Products,Prophix,Project length,6.749546279
BI-focused Products,SAP Analytics Cloud,Project length,4.031578947
BI-focused Products,Unit4 FP&A,Project length,2.421052632
BI-focused Products,Peer Group Average,Project length,4.821283932
BI-focused Products,Board,Business value,6.374776741
BI-focused Products,Cubeware,Business value,3.077855371
BI-focused Products,cubus,Business value,7.400121933
BI-focused Products,evidanza,Business value,6.845090461
BI-focused Products,IBM Plan. Analytics,Business value,5.248740613
BI-focused Products,IDL,Business value,8.894654259
BI-focused Products,Infor d/EPM,Business value,4.855450174
BI-focused Products,Jedox,Business value,8.27981723
