peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
All products,Business value,1,BOARD,,5.80070571,6.273182577,11,,1,
All products,Business value,1,CoPlanner,,5.80070571,6.582331032,10,,1,
All products,Business value,1,Corporate Planning,,5.80070571,8.53285652,3,,1,
All products,Business value,1,Cubeware,,5.80070571,3.573359822,19,,1,
All products,Business value,1,evidanza,,5.80070571,4.187958713,17,,1,
All products,Business value,1,IBM Plan Analytics,,5.80070571,4.943097873,14,,1,
All products,Business value,1,IDL,,5.80070571,6.816914425,9,,1,
All products,Business value,1,Infor,,5.80070571,3.749152707,18,,1,
All products,Business value,1,Jedox,,5.80070571,8.395564168,4,,1,
All products,Business value,1,Longview Pl. (On-Pr.)  ,,5.80070571,6.014946762,12,,1,
All products,Business value,1,LucaNet,,5.80070571,9.438447805,1,,1,
All products,Business value,1,macs Controlling,,5.80070571,8.953126357,2,,1,
All products,Business value,1,Oracle Hyp Plan,,5.80070571,2.810910637,20,,1,
All products,Business value,1,Unit4 Prevero,,5.80070571,4.300363747,16,,1,
All products,Business value,1,Prophix,,5.80070571,7.922408939,6,,1,
All products,Business value,1,SAP BPC,,5.80070571,1.187617261,22,,1,
All products,Business value,1,SAP BW IP,,5.80070571,2.262447047,21,,1,
All products,Business value,1,SAP Analytics Cloud,,5.80070571,7.188162419,7,,1,
All products,Business value,1,CCH Tagetik,,5.80070571,4.596506127,15,,1,
All products,Business value,1,Longview Pl. (Tidem.),,5.80070571,4.991962657,13,,1,
All products,Business value,1,Valsight,,5.80070571,7.970142758,5,,1,
All products,Business value,1,OneStream,,5.80070571,6.924065264,8,,1,
All products,Business benefits,2,BOARD,,5.706971303,7.734521576,7,,2,
All products,Business benefits,2,CoPlanner,,5.706971303,6.538461538,11,,2,
All products,Business benefits,2,Corporate Planning,,5.706971303,9.522599352,2,,2,
All products,Business benefits,2,Cubeware,,5.706971303,2.028384676,20,,2,
All products,Business benefits,2,evidanza,,5.706971303,1,22,,2,
All products,Business benefits,2,IBM Plan Analytics,,5.706971303,4.808166621,15,,2,
All products,Business benefits,2,IDL,,5.706971303,2.65478424,18,,2,
All products,Business benefits,2,Infor,,5.706971303,4.164250384,16,,2,
All products,Business benefits,2,Jedox,,5.706971303,7.980579078,5,,2,
All products,Business benefits,2,Longview Pl. (On-Pr.)  ,,5.706971303,5.367729831,12,,2,
All products,Business benefits,2,LucaNet,,5.706971303,7.382739212,10,,2,
All products,Business benefits,2,macs Controlling,,5.706971303,10,1,,2,
All products,Business benefits,2,Oracle Hyp Plan,,5.706971303,2.811994566,17,,2,
All products,Business benefits,2,Unit4 Prevero,,5.706971303,5.231192883,13,,2,
All products,Business benefits,2,Prophix,,5.706971303,8.134913867,4,,2,
All products,Business benefits,2,SAP BPC,,5.706971303,2.125703565,19,,2,
All products,Business benefits,2,SAP BW IP,,5.706971303,1.450281426,21,,2,
All products,Business benefits,2,SAP Analytics Cloud,,5.706971303,8.609756098,3,,2,
All products,Business benefits,2,CCH Tagetik,,5.706971303,5.167149923,14,,2,
All products,Business benefits,2,Longview Pl. (Tidem.),,5.706971303,7.966496918,6,,2,
All products,Business benefits,2,Valsight,,5.706971303,7.418557053,9,,2,
All products,Business benefits,2,OneStream,,5.706971303,7.45510587,8,,2,
All products,Project success,3,BOARD,,6.560970548,6.701524629,12,,2,
All products,Project success,3,CoPlanner,,6.560970548,7.752718743,7,,2,
All products,Project success,3,Corporate Planning,,6.560970548,7.591513256,9,,2,
All products,Project success,3,Cubeware,,6.560970548,4.991424752,18,,2,
All products,Project success,3,evidanza,,6.560970548,6.432369038,13,,2,
All products,Project success,3,IBM Plan Analytics,,6.560970548,5.346258928,17,,2,
All products,Project success,3,IDL,,6.560970548,8.622556685,5,,2,
All products,Project success,3,Infor,,6.560970548,4.098727699,19,,2,
All products,Project success,3,Jedox,,6.560970548,8.74004184,4,,2,
All products,Project success,3,Longview Pl. (On-Pr.)  ,,6.560970548,7.698983581,8,,2,
All products,Project success,3,LucaNet,,6.560970548,9.749315872,3,,2,
All products,Project success,3,macs Controlling,,6.560970548,9.934030493,2,,2,
All products,Project success,3,Oracle Hyp Plan,,6.560970548,2.746083956,20,,2,
All products,Project success,3,Unit4 Prevero,,6.560970548,5.468107645,16,,2,
All products,Project success,3,Prophix,,6.560970548,7.591513256,10,,2,
All products,Project success,3,SAP BPC,,6.560970548,1,22,,2,
All products,Project success,3,SAP BW IP,,6.560970548,2.526974199,21,,2,
All products,Project success,3,SAP Analytics Cloud,,6.560970548,7.00938233,11,,2,
All products,Project success,3,CCH Tagetik,,6.560970548,5.88989978,15,,2,
All products,Project success,3,Longview Pl. (Tidem.),,6.560970548,6.052384676,14,,2,
All products,Project success,3,Valsight,,6.560970548,8.397540692,6,,2,
All products,Project success,3,OneStream,,6.560970548,10,1,,2,
All products,Project length,4,BOARD,,4.707175657,4.9,9,,2,
All products,Project length,4,CoPlanner,,4.707175657,4.848684211,10,,2,
All products,Project length,4,Corporate Planning,,4.707175657,9.45,2,,2,
All products,Project length,4,Cubeware,,4.707175657,2.21875,18,,2,
All products,Project length,4,evidanza,,4.707175657,2.415322581,15,,2,
All products,Project length,4,IBM Plan Analytics,,4.707175657,4.405821918,11,,2,
All products,Project length,4,IDL,,4.707175657,6.189516129,8,,2,
All products,Project length,4,Infor,,4.707175657,3.017241379,13,,2,
All products,Project length,4,Jedox,,4.707175657,8.086340206,4,,2,
All products,Project length,4,Longview Pl. (On-Pr.)  ,,4.707175657,3.8125,12,,2,
All products,Project length,4,LucaNet,,4.707175657,10,1,,2,
All products,Project length,4,macs Controlling,,4.707175657,6.958333333,6,,2,
All products,Project length,4,Oracle Hyp Plan,,4.707175657,2.907608696,14,,2,
All products,Project length,4,Unit4 Prevero,,4.707175657,2.083333333,19,,2,
All products,Project length,4,Prophix,,4.707175657,8.3125,3,,2,
All products,Project length,4,SAP BPC,,4.707175657,1,22,,2,
All products,Project length,4,SAP BW IP,,4.707175657,2.27173913,17,,2,
All products,Project length,4,SAP Analytics Cloud,,4.707175657,6.745535714,7,,2,
All products,Project length,4,CCH Tagetik,,4.707175657,2.37109375,16,,2,
All products,Project length,4,Longview Pl. (Tidem.),,4.707175657,1.9140625,21,,2,
All products,Project length,4,Valsight,,4.707175657,7.60483871,5,,2,
All products,Project length,4,OneStream,,4.707175657,2.044642857,20,,2,
All products,Customer satisfaction,5,BOARD,,5.242645372,5.205636873,14,,1,
All products,Customer satisfaction,5,CoPlanner,,5.242645372,7.16325803,3,,1,
All products,Customer satisfaction,5,Corporate Planning,,5.242645372,6.281206656,9,,1,
All products,Customer satisfaction,5,Cubeware,,5.242645372,3.412067925,18,,1,
All products,Customer satisfaction,5,evidanza,,5.242645372,4.687457845,15,,1,
All products,Customer satisfaction,5,IBM Plan Analytics,,5.242645372,4.08715282,17,,1,
All products,Customer satisfaction,5,IDL,,5.242645372,5.312111913,13,,1,
All products,Customer satisfaction,5,Infor,,5.242645372,3.123223666,19,,1,
All products,Customer satisfaction,5,Jedox,,5.242645372,6.476721904,7,,1,
All products,Customer satisfaction,5,Longview Pl. (On-Pr.)  ,,5.242645372,5.334536459,12,,1,
All products,Customer satisfaction,5,LucaNet,,5.242645372,6.757123953,5,,1,
All products,Customer satisfaction,5,macs Controlling,,5.242645372,7.952938813,2,,1,
All products,Customer satisfaction,5,Oracle Hyp Plan,,5.242645372,2.718270311,20,,1,
All products,Customer satisfaction,5,Unit4 Prevero,,5.242645372,4.400173641,16,,1,
All products,Customer satisfaction,5,Prophix,,5.242645372,6.70357898,6,,1,
All products,Customer satisfaction,5,SAP BPC,,5.242645372,1.693671679,21,,1,
All products,Customer satisfaction,5,SAP BW IP,,5.242645372,1.278480849,22,,1,
All products,Customer satisfaction,5,SAP Analytics Cloud,,5.242645372,5.73596457,10,,1,
All products,Customer satisfaction,5,CCH Tagetik,,5.242645372,5.417689704,11,,1,
All products,Customer satisfaction,5,Longview Pl. (Tidem.),,5.242645372,6.404823208,8,,1,
All products,Customer satisfaction,5,Valsight,,5.242645372,7.090777289,4,,1,
All products,Customer satisfaction,5,OneStream,,5.242645372,8.10133109,1,,1,
All products,Price-to-value,6,BOARD,,6.762348942,5.504905167,17,,2,
All products,Price-to-value,6,CoPlanner,,6.762348942,9.01767094,4,,2,
All products,Price-to-value,6,Corporate Planning,,6.762348942,7.185005054,12,,2,
All products,Price-to-value,6,Cubeware,,6.762348942,6.650752126,14,,2,
All products,Price-to-value,6,evidanza,,6.762348942,6.174316162,16,,2,
All products,Price-to-value,6,IBM Plan Analytics,,6.762348942,4.364349174,19,,2,
All products,Price-to-value,6,IDL,,6.762348942,7.644342708,8,,2,
All products,Price-to-value,6,Infor,,6.762348942,5.297996314,18,,2,
All products,Price-to-value,6,Jedox,,6.762348942,8.327141923,7,,2,
All products,Price-to-value,6,Longview Pl. (On-Pr.)  ,,6.762348942,6.688423806,13,,2,
All products,Price-to-value,6,LucaNet,,6.762348942,8.485727547,5,,2,
All products,Price-to-value,6,macs Controlling,,6.762348942,10,1,,2,
All products,Price-to-value,6,Oracle Hyp Plan,,6.762348942,4.26936373,20,,2,
All products,Price-to-value,6,Unit4 Prevero,,6.762348942,6.195046309,15,,2,
All products,Price-to-value,6,Prophix,,6.762348942,9.10511921,3,,2,
All products,Price-to-value,6,SAP BPC,,6.762348942,1,22,,2,
All products,Price-to-value,6,SAP BW IP,,6.762348942,2.925441465,21,,2,
All products,Price-to-value,6,SAP Analytics Cloud,,6.762348942,7.416742969,10,,2,
All products,Price-to-value,6,CCH Tagetik,,6.762348942,7.610202747,9,,2,
All products,Price-to-value,6,Longview Pl. (Tidem.),,6.762348942,7.298926634,11,,2,
All products,Price-to-value,6,Valsight,,6.762348942,8.463701766,6,,2,
All products,Price-to-value,6,OneStream,,6.762348942,9.146500981,2,,2,
All products,Recommendation,7,BOARD,,6.619494495,6.861842105,13,,2,
All products,Recommendation,7,CoPlanner,,6.619494495,7.545454545,8,,2,
All products,Recommendation,7,Corporate Planning,,6.619494495,7.684210526,7,,2,
All products,Recommendation,7,Cubeware,,6.619494495,4.315789474,18,,2,
All products,Recommendation,7,evidanza,,6.619494495,6.954887218,12,,2,
All products,Recommendation,7,IBM Plan Analytics,,6.619494495,7.31937799,11,,2,
All products,Recommendation,7,IDL,,6.619494495,6.03601108,14,,2,
All products,Recommendation,7,Infor,,6.619494495,3.928229665,21,,2,
All products,Recommendation,7,Jedox,,6.619494495,8.708133971,5,,2,
All products,Recommendation,7,Longview Pl. (On-Pr.)  ,,6.619494495,5.736842105,15,,2,
All products,Recommendation,7,LucaNet,,6.619494495,8.762308998,4,,2,
All products,Recommendation,7,macs Controlling,,6.619494495,9.378289474,2,,2,
All products,Recommendation,7,Oracle Hyp Plan,,6.619494495,4.112781955,19,,2,
All products,Recommendation,7,Unit4 Prevero,,6.619494495,5.095076401,17,,2,
All products,Recommendation,7,Prophix,,6.619494495,8.66507177,6,,2,
All products,Recommendation,7,SAP BPC,,6.619494495,4.112781955,19,,2,
All products,Recommendation,7,SAP BW IP,,6.619494495,1,22,,2,
All products,Recommendation,7,SAP Analytics Cloud,,6.619494495,7.402903811,9,,2,
All products,Recommendation,7,CCH Tagetik,,6.619494495,5.650717703,16,,2,
All products,Recommendation,7,Longview Pl. (Tidem.),,6.619494495,8.984962406,3,,2,
All products,Recommendation,7,Valsight,,6.619494495,7.373205742,10,,2,
All products,Recommendation,7,OneStream,,6.619494495,10,1,,2,
All products,Vendor support,8,BOARD,,6.088256649,6.278571429,14,,2,
All products,Vendor support,8,CoPlanner,,6.088256649,9.677380952,4,,2,
All products,Vendor support,8,Corporate Planning,,6.088256649,7.445238095,8,,2,
All products,Vendor support,8,Cubeware,,6.088256649,4.225,17,,2,
All products,Vendor support,8,evidanza,,6.088256649,6.298979592,13,,2,
All products,Vendor support,8,IBM Plan Analytics,,6.088256649,1.499906015,19,,2,
All products,Vendor support,8,IDL,,6.088256649,7.197490347,10,,2,
All products,Vendor support,8,Infor,,6.088256649,3.117281106,18,,2,
All products,Vendor support,8,Jedox,,6.088256649,6.789919893,11,,2,
All products,Vendor support,8,Longview Pl. (On-Pr.)  ,,6.088256649,5.725,15,,2,
All products,Vendor support,8,LucaNet,,6.088256649,7.603348214,6,,2,
All products,Vendor support,8,macs Controlling,,6.088256649,9.813169643,2,,2,
All products,Vendor support,8,Oracle Hyp Plan,,6.088256649,1,22,,2,
All products,Vendor support,8,Unit4 Prevero,,6.088256649,5.502073733,16,,2,
All products,Vendor support,8,Prophix,,6.088256649,7.97012987,5,,2,
