Peergroup,Product
All products,Alteryx
All products,Dataiku
All products,IBM SPSS/WS
All products,IBM SPSS/WS/CA
All products,Microsoft Azure/SQL Server
All products,Microsoft Power BI
All products,Qlik
All products,RapidMiner
All products,SAS
All products,Tableau
Advanced analytics platforms,Alteryx
Advanced analytics platforms,Dataiku
Advanced analytics platforms,IBM SPSS/WS
Advanced analytics platforms,Microsoft Azure/SQL Server
Advanced analytics platforms,RapidMiner
Advanced analytics platforms,SAS
Data preparation products,Alteryx
Data preparation products,Dataiku
Data preparation products,IBM SPSS/WS
Data preparation products,IBM SPSS/WS/CA
Data preparation products,Microsoft Azure/SQL Server
Data preparation products,Microsoft Power BI
Data preparation products,Qlik
Data preparation products,RapidMiner
Data preparation products,SAS
Data preparation products,Tableau
Data discovery products,IBM SPSS/WS/CA
Data discovery products,Microsoft Azure/SQL Server
Data discovery products,Microsoft Power BI
Data discovery products,Qlik
Data discovery products,RapidMiner
Data discovery products,SAS
Data discovery products,Tableau
Software generalists,IBM SPSS/WS
Software generalists,IBM SPSS/WS/CA
Software generalists,Microsoft Azure/SQL Server
Software generalists,Microsoft Power BI
Software generalists,SAS
